date,Current_Phase_Average,Weather_Temperature_Celsius,Weather_Relative_Humidity,Global_Horizontal_Radiation,Diffuse_Horizontal_Radiation,Wind_Direction,Weather_Daily_Rainfall,Radiation_Global_Tilted,Radiation_Diffuse_Tilted,power
2013/4/25 18:35,0.3,22.6344,23.2622,4.0588,2.6471,130,0,10.0166,5.9862,0
2013/4/25 18:40,0.3,22.4709,23.4618,3.6123,2.1127,131,0,9.9172,5.9941,0
2013/4/25 18:45,0.3,22.3604,23.6339,3.3521,1.6878,132,0,9.9899,6.004,0
2013/4/25 18:50,0.3,22.1746,23.9372,3.3936,1.7843,136,0,10.0129,6.057,0
2013/4/25 18:55,0.3,21.911,24.3467,3.8251,2.3146,132,0,9.9314,6.0771,0
2013/4/25 19:00,0.3,21.6412,24.751,4.2088,2.6466,131,0,9.8887,6.0936,0
2013/4/25 19:05,0.3,21.4455,24.9962,3.8094,2.1629,134,0,9.8795,6.1234,0
2013/4/25 19:10,0.3,21.2675,25.2163,3.8214,2.19,129,0,9.8197,6.1325,0
2013/4/25 19:15,0.3,20.9349,25.6095,4.2389,2.6798,129,0,9.8281,6.1531,0
2013/4/25 19:20,0.3,20.5185,26.1715,4.7567,3.0916,132,0,9.6072,6.1876,0
2013/4/25 19:25,0.3,20.027,27.0677,5.3334,3.3689,127,0,9.6377,6.219,0
2013/4/25 19:30,0.3,19.4982,27.9844,5.5615,3.7203,128,0,9.5342,6.2369,0
2013/4/25 19:35,0.3,18.8082,29.1417,5.803,3.9325,127,0,9.4901,6.2817,0
2013/4/25 19:40,0.3,18.2421,30.0576,5.4333,3.6853,127,0,9.4358,6.3349,0
2013/4/25 19:45,0.3,17.9479,30.6731,4.8345,3.0586,134,0,9.333,6.3977,0
2013/4/25 19:50,0.3,17.8143,31.0504,4.115,2.4276,134,0,9.2968,6.4463,0
2013/4/25 19:55,0.3,17.5306,31.3482,3.8845,2.218,130,0,9.4031,6.4669,0
2013/4/25 20:00,0.3,16.9851,32.4463,4.1751,2.5841,127,0,9.2664,6.5428,0
2013/4/25 20:05,0.3,16.6762,32.9491,4.3435,2.6936,129,0,9.1932,6.6015,0
2013/4/25 20:10,0.3,16.4684,33.458,4.1495,2.6039,132,0,9.2269,6.6527,0
2013/4/25 20:15,0.3,16.1814,34.1346,4.5947,2.8797,128,0,9.2188,6.6978,0
2013/4/25 20:20,0.3,15.9824,34.7098,4.3505,2.6295,132,0,9.2705,6.7393,0
2013/4/25 20:25,0.3,15.7555,35.1784,4.455,2.7276,125,0,9.1438,6.7583,0
2013/4/25 20:30,0.3,15.6584,35.2811,3.4591,1.8525,127,0,9.0136,6.8023,0
2013/4/25 20:35,0.3,15.4245,36.6131,3.7488,2.0121,130,0,9.0421,6.8526,0
2013/4/25 20:40,0.3,15.3979,36.0236,3.366,1.7757,127,0,8.9283,6.8733,0
2013/4/25 20:45,0.3,15.6394,36.1593,2.9935,1.3363,127,0,9.1631,6.8696,0
2013/4/25 20:50,0.3,15.9702,34.4992,2.3089,0.6134,124,0,9.2331,6.8798,0
2013/4/25 20:55,0.3,15.5227,35.312,2.7012,1.1384,123,0,9.2516,6.9163,0
2013/4/25 21:00,0.3,15.1269,36.5891,3.2201,1.5423,123,0,9.087,6.9413,0
2013/4/25 21:05,0.3,14.9611,37.7619,3.0023,1.3426,126,0,9.0129,6.965,0
2013/4/25 21:10,0.3,14.9203,38.0708,2.5904,1.2224,123,0,9.0976,6.9906,0
2013/4/25 21:15,0.3,14.8219,38.2311,2.7553,1.1131,122,0,9.2204,7.0344,0
2013/4/25 21:20,0.3,14.51,38.816,3.6907,1.8531,121,0,9.1402,7.0531,0
2013/4/25 21:25,0.3,14.1751,40.1403,3.7063,1.9543,120,0,9.1551,7.066,0
2013/4/25 21:30,0.3,14.199,40.0935,3.087,1.3818,120,0,9.1169,7.0735,0
2013/4/25 21:35,0.3,14.5129,39.1468,2.3044,0.7604,125,0,9.2108,7.0911,0
